,REGION,MONTH,PATIENT COUNT,POSITIVE COUNT,PERCENT POSITIVE
602,Washington,March,256885.0,3575.0,1.391673316853845
603,Washington,April,196565.0,2415.0,1.228601226057538
604,Washington,May,196688.0,2080.0,1.0575124054339868
605,Washington,June,235770.0,2581.0,1.094710947109471
606,Washington,July,182476.0,1384.0,0.7584559065301738
607,Washington,August,231495.0,1984.0,0.8570379489837793
608,Washington,September,192276.0,2496.0,1.2981339324720713
609,Washington,October,313765.0,3207.0,1.0221025289627588
610,Washington,November,378861.0,6380.0,1.6839949216203305
611,Washington,December,304513.0,10914.0,3.5840834381454982
612,West Virginia,January,55218.0,1304.0,2.361548770328516
613,West Virginia,February,57352.0,1140.0,1.987724926768029
614,West Virginia,March,69809.0,1447.0,2.07279863627899
615,West Virginia,April,46972.0,615.0,1.3092906412330751
616,West Virginia,May,47109.0,1218.0,2.5854932178564605
617,West Virginia,June,56003.0,330.0,0.5892541470992625
618,West Virginia,July,42424.0,165.0,0.3889307938902508
619,West Virginia,August,57028.0,400.0,0.7014098337658694
620,West Virginia,September,49241.0,782.0,1.5881074714160965
621,West Virginia,October,61803.0,980.0,1.5856835428700873
622,West Virginia,November,78868.0,1552.0,1.9678450068468836
623,West Virginia,December,57491.0,1844.0,3.2074585587309317
624,Wisconsin,January,128304.0,5076.0,3.9562289562289563
625,Wisconsin,February,119290.0,1607.0,1.3471372286025651
626,Wisconsin,March,144238.0,1701.0,1.1793008777159972
627,Wisconsin,April,107940.0,1178.0,1.0913470446544375
628,Wisconsin,May,101504.0,940.0,0.9260718789407313
629,Wisconsin,June,121537.0,911.0,0.7495659757933798
630,Wisconsin,July,91051.0,452.0,0.49642508044941847
631,Wisconsin,August,120425.0,684.0,0.5679883745069545
632,Wisconsin,September,104416.0,1001.0,0.9586653386454184
633,Wisconsin,October,141103.0,1599.0,1.1332147438396065
634,Wisconsin,November,186903.0,4359.0,2.3322258069693906
635,Wisconsin,December,178123.0,11452.0,6.429265170696653
636,Wyoming,January,10630.0,283.0,2.6622765757290687
637,Wyoming,February,5389.0,126.0,2.338096121729449
638,Wyoming,March,5074.0,99.0,1.951123374063855
639,Wyoming,April,0.0,0.0,
640,Wyoming,May,2249.0,25.0,1.1116051578479325
641,Wyoming,June,0.0,0.0,
642,Wyoming,July,0.0,0.0,
643,Wyoming,August,0.0,0.0,
644,Wyoming,September,0.0,0.0,
645,Wyoming,October,6410.0,310.0,4.83619344773791
646,Wyoming,November,15182.0,808.0,5.322091950994599
647,Wyoming,December,11329.0,928.0,8.191367287492277
